key,en,hi
"accountAccountStateLabel","Account state","खाता स्थिति"
"accountCurrentAuthenticatedSession","Current authenticated session","वर्तमान प्रमाणित सत्र"
"accountFleetLabel","Fleet","फ्लीट"
"accountLoadFailureMessage","We could not load your account details right now. Retry shortly from this screen.","अभी आपकी account details लोड नहीं हो सकीं। थोड़ी देर बाद इसी screen से फिर कोशिश करें।"
"accountLoadFailureTitle","Account details unavailable","Account details उपलब्ध नहीं हैं"
"accountManageTitle","Manage account","खाता प्रबंधित करें"
"accountProfileStatusComplete","Complete","पूर्ण"
"accountProfileStatusLabel","Profile status","प्रोफ़ाइल स्थिति"
"accountProfileStatusNeedsAttention","Needs attention","ध्यान देना आवश्यक"
"accountRoleValue","{role, select, supplier {Supplier} trucker {Trucker} other {Unknown}}","{role, select, supplier {सप्लायर} trucker {ट्रकर} other {अज्ञात}}"
"accountSessionTitle","Current session","वर्तमान सत्र"
"accountSettingsLabel","Settings","सेटिंग्स"
"accountSignOutAction","Sign out","साइन आउट"
"accountSignOutFailureMessage","We could not sign you out right now. Retry shortly from this screen.","अभी आपको sign out नहीं किया जा सका। थोड़ी देर बाद इसी screen से फिर कोशिश करें।"
"accountSignedInAsLabel","Signed in as","इस रूप में साइन इन"
"accountStateValue","{state, select, deactivated_pending_cleanup {Deactivated pending cleanup} restricted {Restricted} active {Active} unknown {Unknown} other {Unknown}}","{state, select, deactivated_pending_cleanup {निष्क्रिय, cleanup लंबित} restricted {प्रतिबंधित} active {सक्रिय} unknown {अज्ञात} other {अज्ञात}}"
"accountStatusTitle","Account status","खाता स्थिति"
"accountVerificationLabel","Verification","सत्यापन"
"appBarLanguageToggleTooltip","Switch language","भाषा बदलें"
"authConfigIncompleteSignInMessage","Supabase is not configured in this build, so sign-in and live account data will remain unavailable until the environment is fixed.","इस build में Supabase configured नहीं है, इसलिए sign-in और live account data तब तक उपलब्ध नहीं होंगे जब तक environment ठीक नहीं किया जाता।"
"authConfigIncompleteTitle","Setup incomplete","सेटअप अधूरा है"
"authContinueWithGoogle","Continue with Google","Google से continue करें"
"authFastestMostSecure","Fastest · Most secure","सबसे तेज़ · सबसे सुरक्षित"
"authForgotPasswordAction","Forgot password?","पासवर्ड भूल गए?"
"authGoogleFailureMessage","We could not continue with Google right now. Retry shortly or use email sign-in instead.","अभी Google से continue नहीं हो सका। थोड़ी देर बाद फिर कोशिश करें या उसकी जगह email sign-in इस्तेमाल करें।"
"authOneTapNoPasswordSecure","One-tap · No password · Secure","एक-टैप · पासवर्ड नहीं · सुरक्षित"
"authOrWithEmail","Or continue with email","या ईमेल से जारी रखें"
"authPasswordBackToSignInAction","Back to sign in","Sign in पर वापस जाएँ"
"authPasswordCheckEmailSubtitle","We sent a verification link to {email}. Open that email, finish verification, and then return here to sign in.","हमने {email} पर verification link भेजा है। उस email को खोलें, verification पूरा करें, और फिर यहां वापस आकर sign in करें।"
"authPasswordCheckEmailTitle","Check your email","अपना email देखें"
"authPasswordConfirmLabel","Confirm password","Password की पुष्टि करें"
"authPasswordConfirmMismatchMessage","The password confirmation does not match.","Password confirmation मेल नहीं खाती।"
"authPasswordHint","Enter at least 8 characters","कम से कम 8 characters दर्ज करें"
"authPasswordInvalidEmailMessage","Enter a valid email address.","वैध email address दर्ज करें।"
"authPasswordModeSignIn","Sign in","साइन इन"
"authPasswordResendVerificationAction","Resend verification email","Verification email फिर भेजें"
"authPasswordResendVerificationFailureMessage","We could not resend the verification email right now. Retry shortly or use a different email.","अभी verification email फिर नहीं भेजा जा सका। थोड़ी देर बाद फिर कोशिश करें या कोई दूसरा email इस्तेमाल करें।"
