key,value,category
"appTitle","TranZfort",""
"authEmailHint","you@example.com",""
"authPasswordLabel","Password",""
"authPasswordModeSignIn","Sign in",""
"chatReportSourceLabel","Chat - {source}",""
"chatTitleFallback","Conversation",""
"chatTooltipCall","Call",""
"commonSuggestionSourceGooglePlaces","Google Places",""
"onboardingMobileLabel","Mobile number",""
"onboardingSupplierTitle","Supplier",""
"onboardingTruckerTitle","Trucker",""
"profileEmailLabel","Email",""
"settingsLanguageEnglish","English",""
"shellMessagesActiveConversations","{count} active conversations - {preview}",""
"shellMessagesLatestBy","Latest by {name} - {timestamp}",""
"supplierDashboardLoadPickup","Pickup {value}",""
"supplierDashboardSuperLoadBadge","Super Load - {status}",""
"supplierDashboardSuperLoadCompanyAgeUnavailable","Company-age readiness unavailable in current app data",""
"supplierLoadCardPickupDate","Pickup {value}",""
"supplierLoadStatusUnknown","Unknown",""
"supplierPostLoadAdvanceBalanceLabel","Advance: ₹{advanceAmount} - Balance: ₹{balanceAmount}",""
"supplierPostLoadAdvancePercentageLabel","Advance percentage: {value}%",""
"supplierPostLoadCargoSummary","{material} - {weightTonnes}T - {trucksNeeded} truck(s)",""
"supplierPostLoadCompleteVerificationAction","Complete verification to post load",""
"supplierPostLoadCreatedSuccess","Load created successfully",""
"supplierPostLoadDistanceLabel","Distance: {value} km",""
"supplierPostLoadDriveTimeLabel","Est. drive time: {minutes} min",""
"supplierPostLoadPickupSummary","Pickup: {pickupDate}",""
"supplierPostLoadPriceAmountHint","54000",""
"supplierPostLoadPriceSummary","Price: ₹{priceAmount} - {priceType}",""
"supplierPostLoadRouteSummary","{origin} > {destination}",""
"supplierPostLoadSubmissionFailedTitle","Submission failed",""
"supplierPostLoadSuggestionSubtitle","{label} - {source}",""
"supplierPostLoadTrucksNeededHint","1",""
"supplierPostLoadWeightHint","22",""
"supplierRaiseDisputeAttachmentAttachedSuccess","Evidence attached successfully",""
"supplierRaiseDisputeCategoryError","Select a valid dispute category",""
"supplierRaiseDisputeCategoryLabel","Dispute category",""
"supplierRaiseDisputeChoosePhotoAction","Choose photo",""
"supplierRaiseDisputeCurrentStageLabel","Current stage: {stageLabel}",""
"supplierRaiseDisputeEvidenceOptionalTitle","Evidence (optional)",""
"supplierRaiseDisputeHelpfulDetailsTitle","Helpful details to include",""
"supplierRaiseDisputeHeroSummary","{routeLabel} - {material}",""
"supplierRaiseDisputeHeroTitle","Dispute delivery proof",""
"supplierRaiseDisputePartialContextUnavailableTitle","Some trip detail context is unavailable",""
"supplierRaiseDisputeProblemTitle","What is wrong with the POD?",""
"supplierRaiseDisputePromptActualDelayOrNoShowOutcome","Actual delay or no-show outcome:",""
"supplierRaiseDisputePromptAmountStillUnpaid","Amount still unpaid:",""
"supplierRaiseDisputePromptCorrectTripOrPodDetailShouldBe","Correct trip or POD detail should be:",""
"supplierRaiseDisputePromptDispatchQuantityShownOnProof","Dispatch quantity shown on proof:",""
"supplierRaiseDisputePromptDocumentFieldDoesNotMatch","Document field that does not match:",""
"supplierRaiseDisputePromptExpectedReportingOrArrivalTime","Expected reporting or arrival time:",""
"supplierRaiseDisputePromptExtraUnloadProofNotAttached","Extra unload proof not attached but available:",""
"supplierRaiseDisputePromptGoodsAffectedByDamageOrShortage","Goods affected by damage or shortage:",""
"supplierRaiseDisputePromptMainIssueSupportShouldReview","Main issue support should review:",""
"supplierRaiseDisputePromptOtherLoadingProofNotAttached","Other loading proof not attached but reviewed by support:",""
